bin,MemStats.PauseTotalNs,MemStats.HeapAlloc.Max,Name,MemStats.Mallocs,benchmark_name,benchmark_runtime,MemStats.StackSys.Max,Msg,error,MemStats.Sys.Max,MemStats.NumGC,MemStats.HeapSys.Max,MemStats.HeapIdle.Max,benchmark_language,Time,MemStats.HeapObjects.Max,MemStats.StackInuse.Max,prefix,pulumi-decorator,runtime.NumCgoCall,Span.End,_schema:name,runtime.GOARCH,component,span.kind,MemStats.Frees,os.Args,repo,benchmark_provider,_schema:Timespan,MemStats.HeapInuse.Max,runtime.GOOS,Span.Start,operation,MemStats.HeapReleased.Max,runtime.NumCPU,MemStats.TotalAlloc,_schema:log,response_code,response_class,filename
,1712296,22575744,pulumi,348095,bucket-example,yaml,1245184,,,46826760,11,36503552,10108928,yaml,,150532,1245184,,,9,2023-10-27T12:46:40.895877+03:00,,arm64,,,197563,[/Users/vvm/go/bin/pulumi --logflow --logtostderr -v=5 config set-all --plaintext gcp:project=pulumi-development --tracing file:/Users/vvm/code/pulumi-gcp/provider/tracing_dir/bucket-example-pulumi-config.trace],pulumi/pulumi-gcp,gcp,,26394624,darwin,2023-10-27T12:46:40.893302+03:00,,2007040,12,63367192,,,,bucket-example-pulumi-config.trace
,,,pulumi-plan,,,,,,,,,,,,,,,,,,2023-10-27T12:46:43.708152125+03:00,,,,,,,,,,,,2023-10-27T12:46:43.707741+03:00,destroy,,,,,,,bucket-example-pulumi-destroy.trace
,1204376,31643680,pulumi,361194,bucket-example,yaml,1245184,,,46826760,10,36503552,3694592,yaml,,245890,1245184,,,9,2023-10-27T12:46:43.709073+03:00,,arm64,,,115304,[/Users/vvm/go/bin/pulumi --logflow --logtostderr -v=5 destroy --non-interactive --yes --skip-preview --tracing file:/Users/vvm/code/pulumi-gcp/provider/tracing_dir/bucket-example-pulumi-destroy.trace],pulumi/pulumi-gcp,gcp,,32808960,darwin,2023-10-27T12:46:43.219247+03:00,,3678208,12,64745232,,,,bucket-example-pulumi-destroy.trace
,1462540,23491928,pulumi,348110,bucket-example,yaml,1245184,,,46564616,11,36503552,10452992,yaml,,163553,1245184,,,9,2023-10-27T12:46:40.054250709+03:00,,arm64,,,184557,[/Users/vvm/go/bin/pulumi --logflow --logtostderr -v=5 login --cloud-url file:///var/folders/82/nqnqw81s1h56l5nv940f9mq00000gn/T/TestInitTimebenchmark356820996/001 --tracing file:/Users/vvm/code/pulumi-gcp/provider/tracing_dir/bucket-example-pulumi-login.trace],pulumi/pulumi-gcp,gcp,,26050560,darwin,2023-10-27T12:46:40.053069+03:00,,3792896,12,63413912,,,,bucket-example-pulumi-login.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:42.363395+03:00,,,,,,2023-10-27T12:46:42.363395208+03:00,,,gRPC,client,,,,,,,,2023-10-27T12:46:42.363126+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:42.363318+03:00,,,,,,2023-10-27T12:46:42.3633185+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:42.363273+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,pulumi-plan,,,,,,,,,,,,,,,,,,2023-10-27T12:46:43.062797459+03:00,,,,,,,,,,,,2023-10-27T12:46:41.552232+03:00,update,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.LanguageRuntime/GetPluginInfo,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:41.769385+03:00,,,,,,2023-10-27T12:46:41.769385083+03:00,,,gRPC,client,,,,,,,,2023-10-27T12:46:41.768622+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.LanguageRuntime/GetPluginInfo,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:41.768783+03:00,,,,,,2023-10-27T12:46:41.768783542+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:41.768781+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.LanguageRuntime/GetRequiredPlugins,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:41.770035+03:00,,,,,,2023-10-27T12:46:41.770034708+03:00,,,gRPC,client,,,,,,,,2023-10-27T12:46:41.769434+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.LanguageRuntime/GetRequiredPlugins,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:41.76984+03:00,,,,,,2023-10-27T12:46:41.769839708+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:41.769657+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.ResourceMonitor/SupportsFeature,,,,,"{""gRPC response"":""hasSupport:true""}",,,,,,,2023-10-27T12:46:41.773111+03:00,,,,,,2023-10-27T12:46:41.773112166+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:41.773095+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.ResourceMonitor/SupportsFeature,,,,,"{""gRPC response"":""hasSupport:true""}",,,,,,,2023-10-27T12:46:41.773449+03:00,,,,,,2023-10-27T12:46:41.773449167+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:41.773433+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.ResourceMonitor/SupportsFeature,,,,,"{""gRPC response"":""hasSupport:true""}",,,,,,,2023-10-27T12:46:41.773675+03:00,,,,,,2023-10-27T12:46:41.773676375+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:41.773649+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.ResourceMonitor/SupportsFeature,,,,,"{""gRPC response"":""hasSupport:true""}",,,,,,,2023-10-27T12:46:41.773966+03:00,,,,,,2023-10-27T12:46:41.773966583+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:41.773951+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.ResourceMonitor/RegisterResource,,,,,"{""gRPC response"":""urn:\""urn:pulumi:p-it-venelins-m-storage-bu-37376ea1::test::pulumi:pulumi:Stack::test-p-it-venelins-m-storage-bu-37376ea1\"" object:{}""}",,,,,,,2023-10-27T12:46:41.774839+03:00,,,,pulumi:pulumi:Stack,,2023-10-27T12:46:41.77484+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:41.774466+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:41.877722+03:00,,,,,,2023-10-27T12:46:41.877722667+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:41.877686+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:41.878221+03:00,,,,,,2023-10-27T12:46:41.878221417+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:41.87818+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:41.905548+03:00,,,,,,2023-10-27T12:46:41.905548541+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:41.905512+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
/Users/vvm/.pulumi/plugins/resource-gcp-v6.67.0/pulumi-resource-gcp,,,newPlugin,,,,,,,,,,,,,,,gcp (resource),gcp (resource):/Users/vvm/.pulumi/plugins/resource-gcp-v6.67.0/pulumi-resource-gcp,,2023-10-27T12:46:42.359860125+03:00,,,,,,,,,,,,2023-10-27T12:46:41.905966+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.ResourceProvider/GetPluginInfo,,,,,"{""gRPC response"":""version:\""v6.67.0\""""}",,,,,,,2023-10-27T12:46:42.361472+03:00,,,,,,2023-10-27T12:46:42.361472083+03:00,,,gRPC,client,,,,,,,,2023-10-27T12:46:42.359924+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.ResourceProvider/GetPluginInfo,,,,,"{""gRPC response"":""version:\""v6.67.0\""""}",,,,,,,2023-10-27T12:46:42.360245+03:00,,,,,,2023-10-27T12:46:42.360245+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:42.360234+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.ResourceProvider/CheckConfig,,,,,"{""gRPC response"":""inputs:{fields:{key:\""project\"" value:{string_value:\""pulumi-development\""}} fields:{key:\""version\"" value:{string_value:\""6.67.0\""}}}""}",,,,,,,2023-10-27T12:46:42.841062+03:00,,,,pulumi:providers:gcp,,2023-10-27T12:46:42.841066042+03:00,,,gRPC,client,,,,,,,,2023-10-27T12:46:42.361532+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.ResourceProvider/CheckConfig,,,,,"{""gRPC response"":""inputs:{fields:{key:\""project\"" value:{string_value:\""pulumi-development\""}} fields:{key:\""version\"" value:{string_value:\""6.67.0\""}}}""}",,,,,,,2023-10-27T12:46:42.839954+03:00,,,,,,2023-10-27T12:46:42.83995625+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:42.362039+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.ResourceMonitor/RegisterResourceOutputs,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:42.841224+03:00,,,,,,2023-10-27T12:46:42.841228375+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:41.905858+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.ResourceMonitor/RegisterResource,,,,,"{""gRPC response"":""urn:\""urn:pulumi:p-it-venelins-m-storage-bu-37376ea1::test::pulumi:providers:gcp::provider\"" id:\""04da6b54-80e4-46f7-96ec-b56ff0331ba9\"" object:{fields:{key:\""project\"" value:{string_value:\""pulumi-development\""}} fields:{key:\""version\"" value:{string_value:\""6.67.0\""}}}""}",,,,,,,2023-10-27T12:46:42.841457+03:00,,,,pulumi:providers:gcp,,2023-10-27T12:46:42.841466333+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:41.905581+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.ResourceProvider/Configure,,,,,"{""gRPC response"":""supportsPreview:true""}",,,,,,,2023-10-27T12:46:43.054897+03:00,,,,,,2023-10-27T12:46:43.0548995+03:00,,,gRPC,client,,,,,,,,2023-10-27T12:46:42.841479+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.ResourceProvider/Configure,,,,,"{""gRPC response"":""supportsPreview:true""}",,,,,,,2023-10-27T12:46:43.054264+03:00,,,,,,2023-10-27T12:46:43.054265792+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:42.841719+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:42.842804+03:00,,,,,,2023-10-27T12:46:42.842804042+03:00,,,gRPC,client,,,,,,,,2023-10-27T12:46:42.842615+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:42.842726+03:00,,,,,,2023-10-27T12:46:42.84272675+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:42.842705+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:42.843093+03:00,,,,,,2023-10-27T12:46:42.843092709+03:00,,,gRPC,client,,,,,,,,2023-10-27T12:46:42.842864+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:42.843024+03:00,,,,,,2023-10-27T12:46:42.843024625+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:42.842987+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:42.843393+03:00,,,,,,2023-10-27T12:46:42.843393667+03:00,,,gRPC,client,,,,,,,,2023-10-27T12:46:42.843196+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:42.843326+03:00,,,,,,2023-10-27T12:46:42.843326459+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:42.843311+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:42.843687+03:00,,,,,,2023-10-27T12:46:42.843686459+03:00,,,gRPC,client,,,,,,,,2023-10-27T12:46:42.84347+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:42.843596+03:00,,,,,,2023-10-27T12:46:42.843596334+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:42.843567+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:42.843922+03:00,,,,,,2023-10-27T12:46:42.843922584+03:00,,,gRPC,client,,,,,,,,2023-10-27T12:46:42.843744+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:42.843858+03:00,,,,,,2023-10-27T12:46:42.84385825+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:42.843842+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:42.844163+03:00,,,,,,2023-10-27T12:46:42.844163375+03:00,,,gRPC,client,,,,,,,,2023-10-27T12:46:42.844009+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
,,,/pulumirpc.Engine/Log,,,,,"{""gRPC response"":""""}",,,,,,,2023-10-27T12:46:42.844099+03:00,,,,,,2023-10-27T12:46:42.844098917+03:00,,,gRPC,server,,,,,,,,2023-10-27T12:46:42.844081+03:00,,,,,,,,bucket-example-pulumi-preview-initial.trace
